2022-03-15 17:19:48.032 | INFO     | __main__:__init__:133 - small model is Used!
2022-03-15 17:19:48.058 | INFO     | __main__:register:291 - Projector2: 16, 16, in_dim=256, out_dim=1024, latent_dim=800, dual_type=small, pe_required=False
2022-03-15 17:19:48.059 | INFO     | __main__:__init__:133 - small model is Used!
2022-03-15 17:20:02.496 | INFO     | __main__:load_project_model:582 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cable_gland_2.pth
2022-03-15 17:20:02.515 | INFO     | __main__:load_project_model:584 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cable_gland_3.pth
2022-03-15 17:20:02.539 | INFO     | __main__:load_project_model:586 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cable_gland_4.pth
2022-03-15 17:20:17.006 | INFO     | __main__:train:374 - Epoch-0, cable_gland | all: 0.72250, 0.85185 | 2: 0.40558, 0.90721| 3: 0.39518, 0.90830 | 4: 0.40394, 0.66957
2022-03-15 17:24:21.489 | INFO     | __main__:load_project_model:582 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cable_gland_2.pth
2022-03-15 17:24:21.512 | INFO     | __main__:load_project_model:584 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cable_gland_3.pth
2022-03-15 17:24:21.536 | INFO     | __main__:load_project_model:586 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cable_gland_4.pth
2022-03-15 17:24:36.103 | INFO     | __main__:train:374 - Epoch-20, cable_gland | all: 0.79091, 0.98201 | 2: 0.37986, 0.95228| 3: 0.75479, 0.98030 | 4: 0.70881, 0.96549
2022-03-15 17:28:40.968 | INFO     | __main__:load_project_model:582 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cable_gland_2.pth
2022-03-15 17:28:40.986 | INFO     | __main__:load_project_model:584 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cable_gland_3.pth
2022-03-15 17:28:41.010 | INFO     | __main__:load_project_model:586 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cable_gland_4.pth
2022-03-15 17:28:55.563 | INFO     | __main__:train:374 - Epoch-40, cable_gland | all: 0.82649, 0.98562 | 2: 0.37712, 0.95883| 3: 0.81062, 0.98732 | 4: 0.76902, 0.96400
2022-03-15 17:33:00.143 | INFO     | __main__:load_project_model:582 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cable_gland_2.pth
2022-03-15 17:33:00.162 | INFO     | __main__:load_project_model:584 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cable_gland_3.pth
2022-03-15 17:33:00.188 | INFO     | __main__:load_project_model:586 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cable_gland_4.pth
2022-03-15 17:33:14.634 | INFO     | __main__:train:374 - Epoch-60, cable_gland | all: 0.88232, 0.99079 | 2: 0.39190, 0.96796| 3: 0.85550, 0.99078 | 4: 0.81773, 0.97406
2022-03-15 17:37:19.124 | INFO     | __main__:load_project_model:582 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cable_gland_2.pth
2022-03-15 17:37:19.143 | INFO     | __main__:load_project_model:584 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cable_gland_3.pth
2022-03-15 17:37:19.167 | INFO     | __main__:load_project_model:586 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cable_gland_4.pth
2022-03-15 17:37:33.758 | INFO     | __main__:train:374 - Epoch-80, cable_gland | all: 0.91024, 0.99296 | 2: 0.36727, 0.97270| 3: 0.88342, 0.99295 | 4: 0.80186, 0.97133
2022-03-15 17:41:25.957 | INFO     | __main__:load_project_model:582 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cable_gland_2.pth
2022-03-15 17:41:25.975 | INFO     | __main__:load_project_model:584 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cable_gland_3.pth
2022-03-15 17:41:25.999 | INFO     | __main__:load_project_model:586 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/cable_gland_4.pth
2022-03-15 17:43:17.369 | INFO     | __main__:<module>:731 - cable_gland, add, image auc: 0.87904, pixel auc: 0.99438, pixel pro0.3: 0.98456
2022-03-15 17:43:17.370 | INFO     | __main__:<module>:733 - cable_gland, time: 0.01835s, FPS: 54.49885.
2022-03-15 17:43:18.033 | INFO     | __main__:__init__:253 - resnet34-resnet50-[64, 128, 256]-[256, 512, 1024]-[200, 400, 800]
2022-03-15 17:43:18.035 | INFO     | __main__:register:282 - Projector2: 64, 64, in_dim=64, out_dim=256, latent_dim=200, dual_type=small, pe_required=False
2022-03-15 17:43:18.052 | INFO     | __main__:__init__:133 - small model is Used!
2022-03-15 17:43:18.060 | INFO     | __main__:register:287 - Projector2: 32, 32, in_dim=128, out_dim=512, latent_dim=400, dual_type=small, pe_required=False
2022-03-15 17:43:18.061 | INFO     | __main__:__init__:133 - small model is Used!
